#Release 12.1 - par M.53d (lin64)
#Copyright (c) 1995-2010 Xilinx, Inc.  All rights reserved.

#Wed Jun 23 12:50:57 2010

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       system_map.ncd
#OUTPUT FILE:      system_pad.csv
#PART TYPE:        xc4vfx20
#SPEED GRADE:      -10
#PACKAGE:          ff672
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A23,TX1N_OUT<1>,OPAD,TXNPADA_102,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
A24,TX1P_OUT<0>,OPAD,TXPPADB_102,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
A25,TX1N_OUT<0>,OPAD,TXNPADB_102,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
AA1,,,NC,,,,,,,,,,,,
AA2,,,NC,,,,,,,,,,,,
AA3,fpga_0_SysACE_CompactFlash_SysACE_MPA_pin<5>,IOB,IO_L20N_VREF_8,OUTPUT,LVCMOS33,8,12,SLOW,NONE**,,,LOCATED,YES,NONE,
AA4,fpga_0_SysACE_CompactFlash_SysACE_CEN_pin,IOB,IO_L20P_8,OUTPUT,LVCMOS33,8,12,SLOW,NONE**,,,LOCATED,YES,NONE,
AA5,fpga_0_FLASH_Mem_A_pin<17>,IOB,IO_L26N_8,OUTPUT,LVDCI_33,8,,,NONE**,,,LOCATED,YES,DRIVER,
AA6,,,VCCO_8,,,8,,,,,3.30,,,,
AA7,fpga_0_SysACE_CompactFlash_SysACE_MPD_pin<7>,IOB,IO_L31P_8,BIDIR,LVCMOS33,8,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
AA8,fpga_0_SysACE_CompactFlash_SysACE_MPD_pin<12>,IOB,IO_L27N_8,BIDIR,LVCMOS33,8,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
AA9,fpga_0_FLASH_Mem_A_pin<12>,IOB,IO_L21P_8,OUTPUT,LVDCI_33,8,,,NONE**,,,LOCATED,YES,DRIVER,
AA10,fpga_0_SysACE_CompactFlash_SysACE_MPD_pin<5>,IOB,IO_L7P_8,BIDIR,LVCMOS33,8,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
AA11,,,GND,,,,,,,,,,,,
AA12,,LOWCAPIOB,IO_L8N_GC_CC_LC_4,UNUSED,,4,,,,,,,,,
AA13,,LOWCAPIOB,IO_L7N_GC_VRP_LC_4,UNUSED,,4,,,,,,,,,
AA14,,LOWCAPIOB,IO_L7P_GC_VRN_LC_4,UNUSED,,4,,,,,,,,,
AA15,,IOBS,IO_L2N_7,UNUSED,,7,,,,,,,,,
AA16,,,VCCO_7,,,7,,,,,any******,,,,
AA17,,IOBM,IO_L14P_7,UNUSED,,7,,,,,,,,,
AA18,,IOBM,IO_L20P_7,UNUSED,,7,,,,,,,,,
AA19,,IOBS,IO_L30N_7,UNUSED,,7,,,,,,,,,
AA20,,IOBM,IO_L30P_7,UNUSED,,7,,,,,,,,,
AA21,,,GND,,,,,,,,,,,,
AA22,,IOBS,IO_L21N_7,UNUSED,,7,,,,,,,,,
AA23,,IOBS,IO_L19N_7,UNUSED,,7,,,,,,,,,
AA24,,IOBM,IO_L19P_7,UNUSED,,7,,,,,,,,,
AA25,,,GNDA_105,,,,,,,,,,,,
AA26,,,VTRXA_105,,,,,,,,,,,,
AB1,,,NC,,,,,,,,,,,,
AB2,,,NC,,,,,,,,,,,,
AB3,,,VCCO_8,,,8,,,,,3.30,,,,
AB4,fpga_0_SysACE_CompactFlash_SysACE_MPD_pin<15>,IOB,IO_L28N_VREF_8,BIDIR,LVCMOS33,8,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
AB5,fpga_0_FLASH_Mem_A_pin<16>,IOB,IO_L28P_8,OUTPUT,LVDCI_33,8,,,NONE**,,,LOCATED,YES,DRIVER,
AB6,fpga_0_SysACE_CompactFlash_SysACE_MPA_pin<4>,IOB,IO_L29N_8,OUTPUT,LVCMOS33,8,12,SLOW,NONE**,,,LOCATED,YES,NONE,
AB7,fpga_0_SysACE_CompactFlash_SysACE_MPD_pin<13>,IOB,IO_L29P_8,BIDIR,LVCMOS33,8,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
AB8,,,GND,,,,,,,,,,,,
AB9,fpga_0_FLASH_Mem_A_pin<11>,IOB,IO_L21N_8,OUTPUT,LVDCI_33,8,,,NONE**,,,LOCATED,YES,DRIVER,
AB10,fpga_0_SysACE_CompactFlash_SysACE_MPD_pin<1>,IOB,IO_L7N_8,BIDIR,LVCMOS33,8,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
AB11,fpga_0_SysACE_CompactFlash_SysACE_MPD_pin<2>,IOB,IO_L3P_8,BIDIR,LVCMOS33,8,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
AB12,,LOWCAPIOB,IO_L8P_GC_CC_LC_4,UNUSED,,4,,,,,,,,,
AB13,,,VCCO_4,,,4,,,,,3.30,,,,
AB14,fpga_0_clk_1_sys_clk_pin,IOB,IO_L5P_GC_LC_4,INPUT,LVCMOS33,4,,,,NONE,,LOCATED,NO,NONE,
AB15,,IOBM,IO_L2P_7,UNUSED,,7,,,,,,,,,
AB16,,IOBS,IO_L10N_7,UNUSED,,7,,,,,,,,,
AB17,,IOBM,IO_L10P_7,UNUSED,,7,,,,,,,,,
AB18,,,GND,,,,,,,,,,,,
AB19,,IOBS,IO_L26N_7,UNUSED,,7,,,,,,,,,
AB20,,IOBM,IO_L26P_7,UNUSED,,7,,,,,,,,,
AB21,,IOBS,IO_L32N_7,UNUSED,,7,,,,,,,,,
AB22,,IOBM,IO_L32P_7,UNUSED,,7,,,,,,,,,
AB23,,,VCCO_7,,,7,,,,,any******,,,,
AB24,,LOWCAPIOB,IO_L25P_CC_LC_7,UNUSED,,7,,,,,,,,,
AB25,,,VTTXA_105,,,,,,,,,,,,
AB26,TX1P_OUT<1>_x,OPAD,TXPPADA_105,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
AC1,MGT_wrapper/RX1P_IN<1>_x_x_x,IPAD,RXPPADA_110,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
AC2,,,GNDA_110,,,,,,,,,,,,
AC3,fpga_0_FLASH_Mem_WEN_pin,IOB,IO_L24N_CC_LC_8,OUTPUT,LVDCI_33,8,,,NONE**,,,LOCATED,NO,DRIVER,
AC4,fpga_0_FLASH_Mem_OEN_pin,IOB,IO_L24P_CC_LC_8,OUTPUT,LVDCI_33,8,,,NONE**,,,LOCATED,YES,DRIVER,
AC5,,,GND,,,,,,,,,,,,
AC6,,LOWCAPIOB,IO_L25N_CC_LC_8,UNUSED,,8,,,,,,,,,
AC7,,LOWCAPIOB,IO_L25P_CC_LC_8,UNUSED,,8,,,,,,,,,
AC8,fpga_0_SysACE_CompactFlash_SysACE_OEN_pin,IOB,IO_L19N_8,OUTPUT,LVCMOS33,8,12,SLOW,NONE**,,,LOCATED,YES,NONE,
AC9,fpga_0_SysACE_CompactFlash_SysACE_MPA_pin<1>,IOB,IO_L19P_8,OUTPUT,LVCMOS33,8,12,SLOW,NONE**,,,LOCATED,YES,NONE,
AC10,,,VCCO_8,,,8,,,,,3.30,,,,
AC11,fpga_0_SysACE_CompactFlash_SysACE_MPD_pin<3>,IOB,IO_L3N_8,BIDIR,LVCMOS33,8,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
AC12,,LOWCAPIOB,IO_L6N_GC_LC_4,UNUSED,,4,,,,,,,,,
AC13,,LOWCAPIOB,IO_L6P_GC_LC_4,UNUSED,,4,,,,,,,,,
AC14,,LOWCAPIOB,IO_L5N_GC_LC_4,UNUSED,,4,,,,,,,,,
AC15,,,GND,,,,,,,,,,,,
AC16,,IOBS,IO_L4N_VREF_7,UNUSED,,7,,,,,,,,,
AC17,,IOBS,IO_L16N_7,UNUSED,,7,,,,,,,,,
AC18,,IOBS,IO_L18N_7,UNUSED,,7,,,,,,,,,
AC19,,IOBM,IO_L18P_7,UNUSED,,7,,,,,,,,,
AC20,,,VCCO_7,,,7,,,,,any******,,,,
AC21,,LOWCAPIOB,IO_L24P_CC_LC_7,UNUSED,,7,,,,,,,,,
AC22,,IOBS,IO_L31N_7,UNUSED,,7,,,,,,,,,
AC23,,IOBM,IO_L31P_7,UNUSED,,7,,,,,,,,,
AC24,,LOWCAPIOB,IO_L25N_CC_LC_7,UNUSED,,7,,,,,,,,,
AC25,,,AVCCAUXTX_105,,,,,,,,,,,,
AC26,TX1N_OUT<1>_x,OPAD,TXNPADA_105,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
AD1,MGT_wrapper/RX1N_IN<1>_x_x_x,IPAD,RXNPADA_110,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
AD2,,,AVCCAUXRXA_110,,,,,,,,,,,,
AD3,fpga_0_SysACE_CompactFlash_SysACE_MPD_pin<14>,IOB,IO_L30N_8,BIDIR,LVCMOS33,8,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
AD4,fpga_0_SysACE_CompactFlash_SysACE_MPD_pin<11>,IOB,IO_L30P_8,BIDIR,LVCMOS33,8,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
AD5,fpga_0_SysACE_CompactFlash_SysACE_MPD_pin<10>,IOB,IO_L32N_8,BIDIR,LVCMOS33,8,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
AD6,fpga_0_SysACE_CompactFlash_SysACE_MPD_pin<9>,IOB,IO_L32P_8,BIDIR,LVCMOS33,8,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
AD7,,,VCCO_8,,,8,,,,,3.30,,,,
AD8,fpga_0_SysACE_CompactFlash_SysACE_MPA_pin<2>,IOB,IO_L17N_8,OUTPUT,LVCMOS33,8,12,SLOW,NONE**,,,LOCATED,YES,NONE,
AD9,fpga_0_SysACE_CompactFlash_SysACE_MPA_pin<3>,IOB,IO_L17P_8,OUTPUT,LVCMOS33,8,12,SLOW,NONE**,,,LOCATED,YES,NONE,
AD10,fpga_0_SysACE_CompactFlash_SysACE_WEN_pin,IOB,IO_L1N_8,OUTPUT,LVCMOS33,8,12,SLOW,NONE**,,,LOCATED,YES,NONE,
AD11,fpga_0_SysACE_CompactFlash_SysACE_MPD_pin<0>,IOB,IO_L1P_8,BIDIR,LVCMOS33,8,12,SLOW,NONE**,IFD,,LOCATED,YES,NONE,
AD12,,,GND,,,,,,,,,,,,
AD13,,LOWCAPIOB,IO_L4N_GC_VREF_LC_4,UNUSED,,4,,,,,,,,,
AD14,,LOWCAPIOB,IO_L3N_GC_LC_4,UNUSED,,4,,,,,,,,,
AD15,,LOWCAPIOB,IO_L3P_GC_LC_4,UNUSED,,4,,,,,,,,,
AD16,,IOBM,IO_L4P_7,UNUSED,,7,,,,,,,,,
AD17,,,VCCO_7,,,7,,,,,any******,,,,
AD18,,IOBM,IO_L16P_7,UNUSED,,7,,,,,,,,,
AD19,,IOBS,IO_L22N_7,UNUSED,,7,,,,,,,,,
AD20,,IOBM,IO_L22P_7,UNUSED,,7,,,,,,,,,
AD21,,LOWCAPIOB,IO_L24N_CC_LC_7,UNUSED,,7,,,,,,,,,
AD22,,,GND,,,,,,,,,,,,
AD23,,IOBS,IO_L29N_7,UNUSED,,7,,,,,,,,,
AD24,,IOBM,IO_L29P_7,UNUSED,,7,,,,,,,,,
AD25,,,VTTXB_105,,,,,,,,,,,,
AD26,TX1P_OUT<0>_x,OPAD,TXPPADB_105,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
AE1,,,VTRXA_110,,,,,,,,,,,,
AE2,,,VTTXA_110,,,,,,,,,,,,
AE3,,,GNDA_110,,,,,,,,,,,,
AE4,,,AVCCAUXTX_110,,,,,,,,,,,,
AE5,,,VTTXB_110,,,,,,,,,,,,
AE6,,,GNDA_110,,,,,,,,,,,,
AE7,,,AVCCAUXMGT_110,,,,,,,,,,,,
AE8,,,AVCCAUXRXB_110,,,,,,,,,,,,
AE9,,,GNDA_110,,,,,,,,,,,,
AE10,,,RTERM_110,,,,,,,,,,,,
AE11,,,GNDA_110,,,,,,,,,,,,
AE12,,,MGTVREF_110,,,,,,,,,,,,
AE13,fpga_0_SysACE_CompactFlash_SysACE_CLK_pin,IOB,IO_L4P_GC_LC_4,INPUT,LVCMOS33,4,,,,NONE,,LOCATED,NO,NONE,
AE14,,,VCCO_4,,,4,,,,,3.30,,,,
AE15,,LOWCAPIOB,IO_L1P_GC_LC_4,UNUSED,,4,,,,,,,,,
AE16,,,NC,,,,,,,,,,,,
AE17,,,NC,,,,,,,,,,,,
AE18,,,NC,,,,,,,,,,,,
AE19,,,MGTVREF_105,,,,,,,,,,,,
AE20,,,GNDA_105,,,,,,,,,,,,
AE21,,,RTERM_105,,,,,,,,,,,,
AE22,,,GNDA_105,,,,,,,,,,,,
AE23,,,AVCCAUXRXB_105,,,,,,,,,,,,
AE24,,,AVCCAUXMGT_105,,,,,,,,,,,,
AE25,,,GNDA_105,,,,,,,,,,,,
AE26,TX1N_OUT<0>_x,OPAD,TXNPADB_105,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
AF2,TX1P_OUT<1>_x_x_x,OPAD,TXPPADA_110,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
AF3,TX1N_OUT<1>_x_x_x,OPAD,TXNPADA_110,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
AF4,TX1P_OUT<0>_x_x_x,OPAD,TXPPADB_110,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
AF5,TX1N_OUT<0>_x_x_x,OPAD,TXNPADB_110,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
AF6,,,VTRXB_110,,,,,,,,,,,,
AF7,MGT_wrapper/RX1P_IN<0>_x_x_x,IPAD,RXPPADB_110,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
AF8,MGT_wrapper/RX1N_IN<0>_x_x_x,IPAD,RXNPADB_110,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
AF9,,,GNDA_110,,,,,,,,,,,,
AF10,,IPAD,MGTCLK_P_110,UNUSED,,,,,,,,,,,
AF11,,IPAD,MGTCLK_N_110,UNUSED,,,,,,,,,,,
AF12,,,GNDA_110,,,,,,,,,,,,
AF13,,LOWCAPIOB,IO_L2N_GC_LC_4,UNUSED,,4,,,,,,,,,
AF14,,LOWCAPIOB,IO_L2P_GC_LC_4,UNUSED,,4,,,,,,,,,
AF15,,LOWCAPIOB,IO_L1N_GC_LC_4,UNUSED,,4,,,,,,,,,
AF16,,,NC,,,,,,,,,,,,
AF17,,,NC,,,,,,,,,,,,
AF18,,,NC,,,,,,,,,,,,
AF19,,,GNDA_105,,,,,,,,,,,,
AF20,,IPAD,MGTCLK_N_105,UNUSED,,,,,,,,,,,
AF21,,IPAD,MGTCLK_P_105,UNUSED,,,,,,,,,,,
AF22,,,GNDA_105,,,,,,,,,,,,
AF23,MGT_wrapper/RX1N_IN<0>_x,IPAD,RXNPADB_105,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
AF24,MGT_wrapper/RX1P_IN<0>_x,IPAD,RXPPADB_105,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
AF25,,,VTRXB_105,,,,,,,,,,,,
B1,TX1P_OUT<1>_x_x,OPAD,TXPPADA_113,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
B2,,,GNDA_113,,,,,,,,,,,,
B3,,,GNDA_113,,,,,,,,,,,,
B4,,,AVCCAUXRXA_113,,,,,,,,,,,,
B5,,,GNDA_113,,,,,,,,,,,,
B6,fpga_0_TriMode_MAC_GMII_GMII_RXD_0_pin<3>,IOB,IO_L10P_6,INPUT,LVCMOS25*,6,,,,IFD,,LOCATED,YES,NONE,
B7,fpga_0_TriMode_MAC_GMII_GMII_RXD_0_pin<2>,IOB,IO_L6P_6,INPUT,LVCMOS25*,6,,,,IFD,,LOCATED,YES,NONE,
B8,,,GND,,,,,,,,,,,,
B9,fpga_0_TriMode_MAC_GMII_GMII_TXD_0_pin<2>,IOB,IO_L17P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,YES,NONE,
B10,fpga_0_LEDs_4Bit_GPIO_IO_pin<1>,IOB,IO_L23P_VRN_6,BIDIR,LVCMOS25*,6,2,SLOW,PULLUP,NONE,,LOCATED,YES,NONE,
B11,fpga_0_TriMode_MAC_GMII_GMII_TX_ER_0_pin,IOB,IO_L27N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,YES,NONE,
B12,,LOWCAPIOB,IO_L8N_GC_LC_3,UNUSED,,3,,,,,,,,,
B13,,,VCCO_3,,,3,,,,,2.50,,,,
B14,,LOWCAPIOB,IO_L5N_GC_LC_3,UNUSED,,3,,,,,,,,,
B15,fpga_0_DDR_SDRAM_DDR_Addr_pin<5>,IOB,IO_L32N_5,OUTPUT,SSTL2_I,5,,,NONE**,,,LOCATED,YES,NONE,
B16,fpga_0_DDR_SDRAM_DDR_Addr_pin<6>,IOB,IO_L30P_5,OUTPUT,SSTL2_I,5,,,NONE**,,,LOCATED,YES,NONE,
B17,fpga_0_DDR_SDRAM_DDR_CAS_n_pin,IOB,IO_L24N_CC_LC_5,OUTPUT,SSTL2_I,5,,,NONE**,,,LOCATED,YES,NONE,
B18,,,GND,,,,,,,,,,,,
B19,,,GNDA_102,,,,,,,,,,,,
B20,,,AVCCAUXRXA_102,,,,,,,,,,,,
B21,,,GNDA_102,,,,,,,,,,,,
B22,,,VTTXA_102,,,,,,,,,,,,
B23,,,AVCCAUXTX_102,,,,,,,,,,,,
B24,,,VTTXB_102,,,,,,,,,,,,
B25,,,GNDA_102,,,,,,,,,,,,
B26,,,VTRXB_102,,,,,,,,,,,,
C1,TX1N_OUT<1>_x_x,OPAD,TXNPADA_113,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
C2,,,VTTXA_113,,,,,,,,,,,,
C3,,IOBM,IO_L18P_6,UNUSED,,6,,,,,,,,,
C4,fpga_0_TriMode_MAC_GMII_GMII_RXD_0_pin<7>,IOB,IO_L14P_6,INPUT,LVCMOS25*,6,,,,IFD,,LOCATED,YES,NONE,
C5,,,GND,,,,,,,,,,,,
C6,fpga_0_TriMode_MAC_GMII_GMII_RXD_0_pin<5>,IOB,IO_L10N_6,INPUT,LVCMOS25*,6,,,,IFD,,LOCATED,YES,NONE,
C7,fpga_0_TriMode_MAC_GMII_GMII_RXD_0_pin<1>,IOB,IO_L6N_6,INPUT,LVCMOS25*,6,,,,IFD,,LOCATED,YES,NONE,
C8,fpga_0_TriMode_MAC_GMII_GMII_TXD_0_pin<4>,IOB,IO_L7N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,YES,NONE,
C9,fpga_0_TriMode_MAC_GMII_GMII_TXD_0_pin<3>,IOB,IO_L13N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,YES,NONE,
C10,,,VCCO_6,,,6,,,,,2.50,,,,
C11,fpga_0_TriMode_MAC_GMII_GMII_RX_ER_0_pin,IOB,IO_L27P_6,INPUT,LVCMOS25*,6,,,,IFD,,LOCATED,YES,NONE,
C12,fpga_0_DDR_SDRAM_DDR_Clk_n_pin,IOB,IO_L6N_GC_LC_3,OUTPUT,DIFF_SSTL2_II,3,,,NONE**,,,LOCATED,YES,NONE,
C13,fpga_0_DDR_SDRAM_DDR_Clk_pin,IOB,IO_L6P_GC_LC_3,OUTPUT,DIFF_SSTL2_II,3,,,NONE**,,,LOCATED,YES,NONE,
C14,fpga_0_DDR_SDRAM_DDR_BankAddr_pin<1>,IOB,IO_L5P_GC_LC_3,OUTPUT,SSTL2_I,3,,,NONE**,,,LOCATED,YES,NONE,
C15,,,GND,,,,,,,,,,,,
C16,fpga_0_DDR_SDRAM_DDR_Addr_pin<4>,IOB,IO_L30N_5,OUTPUT,SSTL2_I,5,,,NONE**,,,LOCATED,YES,NONE,
C17,fpga_0_DDR_SDRAM_DDR_Addr_pin<1>,IOB,IO_L22N_5,OUTPUT,SSTL2_I,5,,,NONE**,,,LOCATED,YES,NONE,
C18,fpga_0_DDR_SDRAM_DDR_Addr_pin<0>,IOB,IO_L22P_5,OUTPUT,SSTL2_I,5,,,NONE**,,,LOCATED,YES,NONE,
C19,fpga_0_DDR_SDRAM_DDR_DQ_pin<7>,IOB,IO_L16P_5,BIDIR,SSTL2_II,5,,,NONE**,IFD,,LOCATED,YES,NONE,
C20,,,VCCO_5,,,5,,,,,2.50,,,,
C21,fpga_0_DDR_SDRAM_DDR_Addr_pin<9>,IOB,IO_L10N_5,OUTPUT,SSTL2_I,5,,,NONE**,,,LOCATED,YES,NONE,
C22,,IOBS,IO_L12N_VREF_5,VREF Required,,5,,,,,1.25,,,,
C23,fpga_0_DDR_SDRAM_DDR_DM_pin<1>,IOB,IO_L12P_5,OUTPUT,SSTL2_I,5,,,NONE**,,,LOCATED,YES,NONE,
C24,fpga_0_DDR_SDRAM_DDR_DQS_pin<2>,IOB,IO_L9N_CC_LC_5,TRISTATE,SSTL2_II,5,,,NONE**,,,LOCATED,YES,NONE,
C25,,,AVCCAUXMGT_102,,,,,,,,,,,,
C26,MGT_wrapper/RX1P_IN<0>,IPAD,RXPPADB_102,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
D1,TX1P_OUT<0>_x_x,OPAD,TXPPADB_113,OUTPUT,,,,,,,,UNLOCATED,NO,NONE,
D2,,,AVCCAUXTX_113,,,,,,,,,,,,
D3,,IOBS,IO_L18N_6,UNUSED,,6,,,,,,,,,
D4,,IOBS,IO_L14N_6,UNUSED,,6,,,,,,,,,
D5,fpga_0_TriMode_MAC_GMII_GMII_RXD_0_pin<4>,IOB,IO_L12P_6,INPUT,LVCMOS25*,6,,,,IFD,,LOCATED,YES,NONE,
D6,fpga_0_Push_Buttons_Position_GPIO_IO_pin<0>,IOB,IO_L8P_CC_LC_6,BIDIR,LVCMOS25*,6,2,SLOW,PULLDOWN,NONE,,LOCATED,YES,NONE,
D7,,,VCCO_6,,,6,,,,,2.50,,,,
D8,,IOBM,IO_L7P_6,UNUSED,,6,,,,,,,,,
D9,fpga_0_TriMode_MAC_GMII_GMII_TXD_0_pin<6>,IOB,IO_L13P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,YES,NONE,
D10,fpga_0_TriMode_MAC_GMII_GMII_TXD_0_pin<5>,IOB,IO_L21N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,YES,NONE,
D11,fpga_0_TriMode_MAC_GMII_MDC_0_pin,IOB,IO_L25N_CC_LC_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
D12,,,GND,,,,,,,,,,,,
D13,,LOWCAPIOB,IO_L4P_GC_LC_3,UNUSED,,3,,,,,,,,,
D14,,LOWCAPIOB,IO_L3N_GC_LC_3,UNUSED,,3,,,,,,,,,
D15,fpga_0_TriMode_MAC_GMII_MII_TX_CLK_0_pin,IOB,IO_L3P_GC_LC_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
D16,fpga_0_DDR_SDRAM_DDR_Addr_pin<3>,IOB,IO_L28P_5,OUTPUT,SSTL2_I,5,,,NONE**,,,LOCATED,YES,NONE,
D17,,,VCCO_5,,,5,,,,,2.50,,,,
D18,fpga_0_DDR_SDRAM_DDR_Addr_pin<10>,IOB,IO_L20P_5,OUTPUT,SSTL2_I,5,,,NONE**,,,LOCATED,YES,NONE,
D19,fpga_0_DDR_SDRAM_DDR_DQ_pin<27>,IOB,IO_L16N_5,BIDIR,SSTL2_II,5,,,NONE**,IFD,,LOCATED,YES,NONE,
D20,fpga_0_DDR_SDRAM_DDR_WE_n_pin,IOB,IO_L8N_CC_LC_5,OUTPUT,SSTL2_I,5,,,NONE**,,,LOCATED,YES,NONE,
